LINE_TYPE,LINE,CAR
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
INTERRUPT,508,498
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,508,496
SINGLE,507,495
SINGLE,506,494
SINGLE,505,493
SINGLE,504,492
SINGLE,503,491
SINGLE,502,490
SINGLE,501,489
SINGLE,500,488
SINGLE,499,487
SINGLE,498,486
SINGLE,497,485
SINGLE,496,484
SINGLE,495,483
SINGLE,494,482
SINGLE,493,481
SINGLE,492,480
SINGLE,491,479
SINGLE,490,478
SINGLE,489,477
SINGLE,488,476
SINGLE,487,475
SINGLE,486,474
SINGLE,485,473
SINGLE,484,472
SINGLE,483,471
SINGLE,482,470
SINGLE,481,469
SINGLE,480,468
SINGLE,479,467
SINGLE,478,466
SINGLE,477,465
SINGLE,476,464
SINGLE,475,463
SINGLE,474,462
SINGLE,473,461
SINGLE,472,460
SINGLE,471,459
SINGLE,470,458
SINGLE,469,457
SINGLE,468,456
SINGLE,467,455
SINGLE,466,454
SINGLE,465,453
SINGLE,464,452
SINGLE,463,451
SINGLE,462,450
SINGLE,461,449
SINGLE,460,448
SINGLE,459,447
SINGLE,457,445
SINGLE,455,443
SINGLE,453,441
SINGLE,451,439
SINGLE,449,437
SINGLE,447,435
SINGLE,445,433
SINGLE,443,431
SINGLE,441,429
SINGLE,439,427
SINGLE,437,425
SINGLE,435,423
SINGLE,433,421
SINGLE,431,419
SINGLE,429,417
SINGLE,427,415
SINGLE,425,413
SINGLE,423,411
SINGLE,421,409
SINGLE,419,407
SINGLE,417,405
SINGLE,415,403
SINGLE,413,401
SINGLE,411,399
SINGLE,409,397
SINGLE,407,395
SINGLE,405,393
INTERRUPT,403,391
INTERRUPT,401,389
INTERRUPT,399,387
INTERRUPT,397,385
INTERRUPT,395,383
INTERRUPT,393,381
INTERRUPT,391,379
INTERRUPT,389,377
INTERRUPT,387,375
INTERRUPT,385,373
INTERRUPT,383,371
INTERRUPT,381,11262
INTERRUPT,379,367
INTERRUPT,377,365
INTERRUPT,375,363
INTERRUPT,373,361
INTERRUPT,371,359
INTERRUPT,369,357
INTERRUPT,367,355
INTERRUPT,365,353
INTERRUPT,363,351
INTERRUPT,361,349
INTERRUPT,359,347
INTERRUPT,357,345
INTERRUPT,354,342
INTERRUPT,351,341
INTERRUPT,348,340
INTERRUPT,345,339
INTERRUPT,342,338
INTERRUPT,339,337
INTERRUPT,336,336
INTERRUPT,333,335
INTERRUPT,330,334
INTERRUPT,327,333
INTERRUPT,324,334
INTERRUPT,321,331
INTERRUPT,318,328
INTERRUPT,315,325
INTERRUPT,312,322
INTERRUPT,309,319
INTERRUPT,306,316
INTERRUPT,303,313
INTERRUPT,300,310
INTERRUPT,297,307
INTERRUPT,294,302
INTERRUPT,291,297
INTERRUPT,288,292
INTERRUPT,285,287
INTERRUPT,282,282
INTERRUPT,279,277
INTERRUPT,276,272
INTERRUPT,273,267
INTERRUPT,270,262
INTERRUPT,267,257
INTERRUPT,264,252
INTERRUPT,261,249
INTERRUPT,258,246
INTERRUPT,255,243
INTERRUPT,252,240
INTERRUPT,249,237
INTERRUPT,246,234
INTERRUPT,243,231
INTERRUPT,240,228
INTERRUPT,237,225
INTERRUPT,234,222
INTERRUPT,231,219
INTERRUPT,228,216
INTERRUPT,225,213
INTERRUPT,222,210
INTERRUPT,219,207
INTERRUPT,216,204
INTERRUPT,213,201
INTERRUPT,210,198
INTERRUPT,206,194
INTERRUPT,202,190
INTERRUPT,198,186
INTERRUPT,194,182
INTERRUPT,190,178
INTERRUPT,186,174
INTERRUPT,182,170
INTERRUPT,178,166
INTERRUPT,174,162
INTERRUPT,170,158
INTERRUPT,166,154
INTERRUPT,162,150
INTERRUPT,158,146
INTERRUPT,154,142
INTERRUPT,150,138
INTERRUPT,146,134
INTERRUPT,142,130
INTERRUPT,138,126
INTERRUPT,134,122
INTERRUPT,130,118
INTERRUPT,126,114
INTERRUPT,122,110
INTERRUPT,118,106
INTERRUPT,114,102
INTERRUPT,110,98
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,102
DOUBLE,110,104
DOUBLE,110,106
DOUBLE,110,108
DOUBLE,110,110
DOUBLE,110,112
DOUBLE,110,114
DOUBLE,110,116
DOUBLE,110,118
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,120
DOUBLE,110,118
DOUBLE,110,116
DOUBLE,110,114
DOUBLE,110,112
DOUBLE,110,110
DOUBLE,110,108
DOUBLE,110,106
DOUBLE,110,104
DOUBLE,110,102
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,102
DOUBLE,110,104
DOUBLE,110,106
DOUBLE,110,108
DOUBLE,110,110
DOUBLE,110,112
DOUBLE,110,114
DOUBLE,110,116
DOUBLE,110,118
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,122
DOUBLE,110,120
DOUBLE,110,118
DOUBLE,110,116
DOUBLE,110,114
DOUBLE,110,112
DOUBLE,110,110
DOUBLE,110,108
DOUBLE,110,106
DOUBLE,110,104
DOUBLE,110,102
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,9234
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,110,100
DOUBLE,111,101
DOUBLE,112,102
DOUBLE,113,103
DOUBLE,114,104
DOUBLE,115,105
DOUBLE,116,106
DOUBLE,117,107
DOUBLE,118,108
DOUBLE,119,109
DOUBLE,120,110
DOUBLE,121,111
DOUBLE,122,112
DOUBLE,123,113
DOUBLE,124,114
DOUBLE,125,115
DOUBLE,126,116
DOUBLE,127,117
DOUBLE,128,118
DOUBLE,129,119
DOUBLE,130,120
DOUBLE,131,121
DOUBLE,132,122
DOUBLE,133,123
DOUBLE,134,124
